id_ubicacion,cod_postal,cve_mun,cve_loc,latitud,longitud,id_asentamiento
8e0df550-8648-47d9-8e21-fb3f3e3b8806,21840.0,2,192,32.52337876,-114.917782,4bee99d3-4bd4-4f09-9a8e-9909d1260156
1a4f1afe-ba8d-44a1-be54-0d068b403ccb,,1,1,31.8621572,-116.6267073,a404415e-4900-4a58-8ef3-a81db882c49f
79f72aec-a7d8-4381-a3ad-1618b9278d41,,2,1581,32.20725336,-115.1462315,48d05463-f7e7-4e3c-abe4-0266d1089165
23e39b38-7731-45c8-84fa-25b5464d73ea,,1,186,31.06657818,-116.2098943,20e29428-e28e-4d2e-8409-cc6fc704ea80
842e1d4e-7c4c-4d1c-8e87-61e2d2a6a566,,2,2900,32.3266025,-115.0714433,8ee7283b-7217-4c73-8c51-f83f0eeea34b
85b21cfa-dff0-4995-9a2d-8ed0798f67a0,22890.0,1,1,31.86168362,-116.6113703,d4d57a60-4d6b-40b1-a0de-de9d51e29d32
